ID,Num_Atoms,Tag,GDB_Index,A,B,C,Dipole,Alpha,HOMO,LUMO,Gap,R^2,ZPVE,U0,U298,H298,G298,Cv,SMILES,InChI,canonical_smiles,split
dsgdb9nsd_000001,5,gdb,1,157.7118,157.70997,157.70699,0.0,13.21,-0.3877,0.1171,0.5048,35.3641,0.044749,-40.47893,-40.476062,-40.475117,-40.498597,6.469,C,InChI=1S/CH4/h1H4	InChI=1S/CH4/h1H4,C,train
dsgdb9nsd_000003,3,gdb,3,799.58812,437.90386,282.94545,1.8511,6.31,-0.2928,0.0687,0.3615,19.0002,0.021375,-76.404702,-76.401867,-76.400922,-76.422349,6.002,O,InChI=1S/H2O/h1H2	InChI=1S/H2O/h1H2,O,test
dsgdb9nsd_000007,8,gdb,7,80.46225,19.90649,19.90633,0.0,23.95,-0.3385,0.1041,0.4426,109.5031,0.074542,-79.764152,-79.760666,-79.759722,-79.787269,10.098,CC,InChI=1S/C2H6/c1-2/h1-2H3	InChI=1S/C2H6/c1-2/h1-2H3,CC,train
dsgdb9nsd_000008,6,gdb,8,127.83497,24.85872,23.97872,1.5258,16.97,-0.2653,0.0784,0.3437,83.794,0.051208,-115.679136,-115.675816,-115.674872,-115.701876,8.751,CO,"InChI=1S/CH4O/c1-2/h2H,1H3	InChI=1S/CH4O/c1-2/h2H,1H3",CO,train
dsgdb9nsd_000010,6,gdb,10,159.03567,9.22327,9.22324,3.8266,24.45,-0.3264,0.0376,0.364,160.7223,0.045286,-132.71815,-132.714563,-132.713619,-132.742149,10.287,CC#N,InChI=1S/C2H3N/c1-2-3/h1H3	InChI=1S/C2H3N/c1-2-3/h1H3,CC#N,train
dsgdb9nsd_000015,9,gdb,15,39.37691,10.04033,8.90353,1.1502,28.13,-0.2525,0.091,0.3435,187.1015,0.079534,-154.960361,-154.956045,-154.9551,-154.985747,12.934,COC,InChI=1S/C2H6O/c1-3-2/h1-2H3	InChI=1S/C2H6O/c1-3-2/h1-2H3,COC,train
dsgdb9nsd_000016,9,gdb,16,20.15852,20.15302,12.5891,0.0005,30.82,-0.2888,0.1042,0.393,155.8145,0.081231,-117.824798,-117.821426,-117.820482,-117.849087,11.041,C1CC1,InChI=1S/C3H6/c1-2-3-1/h1-3H2	InChI=1S/C3H6/c1-2-3-1/h1-3H2,C1CC1,train
dsgdb9nsd_000032,8,gdb,32,32.19893,4.76299,4.30696,4.4361,31.81,-0.2683,0.0173,0.2855,295.6635,0.063305,-188.042067,-188.037478,-188.036534,-188.06863,14.488,NCC#N,"InChI=1S/C2H4N2/c3-1-2-4/h1,3H2	InChI=1S/C2H4N2/c3-1-2-4/h1,3H2",N#CCN,test
dsgdb9nsd_000034,7,gdb,34,35.93172,4.83443,4.37827,4.6788,28.56,-0.3018,0.0022,0.3039,280.6659,0.050262,-207.916786,-207.912215,-207.911271,-207.943384,13.845,OCC#N,"InChI=1S/C2H3NO/c3-1-2-4/h4H,2H2	InChI=1S/C2H3NO/c3-1-2-4/h4H,2H2",N#CCO,train
dsgdb9nsd_000036,9,gdb,36,19.98749,6.11589,4.82584,3.7071,32.78,-0.2516,0.0335,0.2851,279.7863,0.074166,-209.144909,-209.139976,-209.139032,-209.172305,15.058,CNC=O,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)	InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)",CNC=O,train
dsgdb9nsd_000039,14,gdb,39,23.44662,3.60588,3.38683,0.0,45.71,-0.317,0.0937,0.4107,426.2996,0.131708,-158.340943,-158.33517,-158.334226,-158.36894,19.668,CCCC,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3	InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",CCCC,train
dsgdb9nsd_000041,12,gdb,41,28.29567,4.14901,3.88349,1.0363,39.34,-0.2503,0.0925,0.3428,368.9331,0.107895,-194.254127,-194.248585,-194.247641,-194.281899,17.888,CCOC,"InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3	InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3",CCOC,test
dsgdb9nsd_000043,12,gdb,43,15.61472,6.31363,5.54514,0.1136,41.96,-0.2727,0.1012,0.3738,298.6061,0.109284,-157.116735,-157.11209,-157.111146,-157.143262,16.49,CC1CC1,"InChI=1S/C4H8/c1-4-2-3-4/h4H,2-3H2,1H3	InChI=1S/C4H8/c1-4-2-3-4/h4H,2-3H2,1H3",CC1CC1,test
dsgdb9nsd_000044,10,gdb,44,18.21931,6.63877,5.92459,1.812,35.01,-0.2633,0.1052,0.3685,267.2979,0.085275,-193.039603,-193.035186,-193.034242,-193.065979,14.764,CC1CO1,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3	InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3/t3-/m0/s1",CC1CO1,train
dsgdb9nsd_000046,10,gdb,46,16.79477,6.71015,5.86781,1.3894,34.64,-0.239,0.0775,0.3166,263.966,0.085106,-193.034988,-193.030356,-193.029411,-193.061689,15.679,OC1CC1,"InChI=1S/C3H6O/c4-3-1-2-3/h3-4H,1-2H2	InChI=1S/C3H6O/c4-3-1-2-3/h3-4H,1-2H2",OC1CC1,train
dsgdb9nsd_000047,12,gdb,47,10.66107,10.66107,6.30452,0.0,41.83,-0.2982,0.0956,0.3938,268.4432,0.110511,-157.115484,-157.111322,-157.110378,-157.141657,14.696,C1CCC1,InChI=1S/C4H8/c1-2-4-3-1/h1-4H2	InChI=1S/C4H8/c1-2-4-3-1/h1-4H2,C1CCC1,train
dsgdb9nsd_000048,10,gdb,48,12.06545,11.77731,6.71997,1.7978,34.56,-0.2424,0.0859,0.3283,236.9759,0.086675,-193.034094,-193.029968,-193.029024,-193.060777,12.915,C1COC1,InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2	InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2,C1COC1,train
dsgdb9nsd_000049,12,gdb,49,8.63483,4.11977,2.88825,0.6875,45.37,-0.2392,0.0192,0.2584,452.5112,0.100501,-248.375248,-248.368823,-248.367879,-248.405354,21.616,CC(C)=NO,"InChI=1S/C3H7NO/c1-3(2)4-5/h5H,1-2H3	InChI=1S/C3H7NO/c1-3(2)4-5/h5H,1-2H3",CC(C)=NO,train
dsgdb9nsd_000050,10,gdb,50,9.17136,9.04195,4.5531,1.8689,43.14,-0.2029,0.0499,0.2528,303.9808,0.082433,-210.101789,-210.097816,-210.096872,-210.12818,14.821,N1C=CC=C1,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H	InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,c1cc[nH]c1,train
dsgdb9nsd_000053,8,gdb,53,10.10926,9.69372,4.94857,1.5081,35.17,-0.2509,0.001,0.2519,269.2444,0.058593,-246.02915,-246.025614,-246.024669,-246.055309,12.04,O1C=CN=C1,InChI=1S/C3H3NO/c1-2-5-3-4-1/h1-3H	InChI=1S/C3H3NO/c1-2-5-3-4-1/h1-3H,c1cocn1,train
dsgdb9nsd_000060,9,gdb,60,9.08854,4.42607,3.03169,0.9461,36.51,-0.2538,-0.0964,0.1574,399.222,0.064992,-267.10335,-267.097658,-267.096714,-267.132534,17.806,CC(=O)C=O,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3	InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3",CC(=O)C=O,train
dsgdb9nsd_000061,9,gdb,61,10.08927,4.54115,3.13487,2.7707,38.09,-0.2561,-0.064,0.192,384.4827,0.067668,-263.278851,-263.273589,-263.272645,-263.306835,17.972,NC(=N)C=O,"InChI=1S/C2H4N2O/c3-2(4)1-5/h1H,(H3,3,4)	InChI=1S/C2H4N2O/c3-2(4)1-5/h1H,(H3,3,4)",N=C(N)C=O,train
