mol_id,n_atoms,real_bonds,qtaim_bonds,elf_bonds,qtaim_real,qtaim_nonbond,qtaim_missing,elf_coverage,qtaim_coverage
dsgdb9nsd_016487,16,18,10,18,5,5,13,100%,28%
dsgdb9nsd_112995,17,17,15,17,10,5,7,100%,59%
dsgdb9nsd_051677,17,18,13,18,8,5,10,100%,44%
dsgdb9nsd_068820,19,20,11,20,5,6,15,100%,25%
dsgdb9nsd_041867,18,19,14,19,8,6,11,100%,42%
dsgdb9nsd_047698,16,16,13,16,11,2,5,100%,69%
dsgdb9nsd_066422,15,15,12,15,8,4,7,100%,53%
dsgdb9nsd_045840,13,13,11,13,9,2,4,100%,69%
dsgdb9nsd_087684,19,20,11,20,5,6,15,100%,25%
dsgdb9nsd_083606,18,19,12,19,6,6,13,100%,32%
dsgdb9nsd_130524,12,13,10,13,5,5,8,100%,38%
dsgdb9nsd_126747,20,20,11,20,7,4,13,100%,35%
dsgdb9nsd_023096,15,15,12,14,6,6,9,93%,40%
dsgdb9nsd_058109,25,25,14,25,5,9,20,100%,20%
dsgdb9nsd_077605,21,22,14,22,6,8,16,100%,27%
dsgdb9nsd_109398,21,21,13,21,6,7,15,100%,29%
dsgdb9nsd_089834,18,19,12,19,5,7,14,100%,26%
dsgdb9nsd_071868,17,19,13,19,5,8,14,100%,26%
dsgdb9nsd_002927,14,14,10,14,5,5,9,100%,36%
dsgdb9nsd_004438,13,13,9,13,7,2,6,100%,54%
dsgdb9nsd_129790,12,13,9,13,4,5,9,100%,31%
dsgdb9nsd_078832,16,18,12,18,5,7,13,100%,28%
dsgdb9nsd_045926,13,13,10,13,6,4,7,100%,46%
dsgdb9nsd_046724,17,19,15,19,7,8,12,100%,37%
dsgdb9nsd_014289,16,17,11,17,4,7,13,100%,24%
dsgdb9nsd_095213,23,24,13,24,4,9,20,100%,17%
dsgdb9nsd_110263,20,21,15,21,7,8,14,100%,33%
dsgdb9nsd_088638,20,21,14,21,6,8,15,100%,29%
dsgdb9nsd_123424,17,18,11,18,6,5,12,100%,33%
dsgdb9nsd_011860,18,19,10,19,6,4,13,100%,32%
dsgdb9nsd_040012,21,23,14,23,6,8,17,100%,26%
dsgdb9nsd_090932,21,23,13,23,5,8,18,100%,22%
dsgdb9nsd_065394,18,19,11,19,8,3,11,100%,42%
dsgdb9nsd_043968,17,19,12,19,5,7,14,100%,26%
dsgdb9nsd_080727,17,18,11,18,4,7,14,100%,22%
dsgdb9nsd_024552,12,13,11,13,7,4,6,100%,54%
dsgdb9nsd_078504,20,22,15,22,6,9,16,100%,27%
dsgdb9nsd_054891,13,13,12,13,7,5,6,100%,54%
dsgdb9nsd_005180,12,12,11,12,9,2,3,100%,75%
dsgdb9nsd_002772,13,13,11,13,5,6,8,100%,38%
dsgdb9nsd_071423,16,18,11,18,5,6,13,100%,28%
dsgdb9nsd_115946,23,24,16,24,7,9,17,100%,29%
dsgdb9nsd_012785,18,19,12,19,7,5,12,100%,37%
dsgdb9nsd_124745,18,18,12,18,7,5,11,100%,39%
dsgdb9nsd_018624,15,16,10,16,6,4,10,100%,38%
dsgdb9nsd_126307,19,19,12,19,7,5,12,100%,37%
dsgdb9nsd_072442,20,22,16,22,8,8,14,100%,36%
dsgdb9nsd_015079,17,17,11,16,5,6,12,94%,29%
dsgdb9nsd_044839,16,17,12,17,4,8,13,100%,24%
dsgdb9nsd_019957,17,18,11,18,5,6,13,100%,28%
dsgdb9nsd_022849,20,20,14,20,8,6,12,100%,40%
dsgdb9nsd_040200,20,22,14,22,7,7,15,100%,32%
dsgdb9nsd_049281,15,15,12,15,6,6,9,100%,40%
dsgdb9nsd_060210,23,24,15,24,6,9,18,100%,25%
dsgdb9nsd_000534,16,15,9,15,5,4,10,100%,33%
dsgdb9nsd_094685,22,23,14,23,7,7,16,100%,30%
dsgdb9nsd_078365,18,20,16,20,10,6,10,100%,50%
dsgdb9nsd_024551,13,14,12,14,7,5,7,100%,50%
dsgdb9nsd_017066,16,17,11,17,6,5,11,100%,35%
dsgdb9nsd_075882,20,20,13,20,8,5,12,100%,40%
dsgdb9nsd_062384,14,15,13,15,5,8,10,100%,33%
dsgdb9nsd_090247,21,23,15,23,7,8,16,100%,30%
dsgdb9nsd_026338,18,18,13,18,11,2,7,100%,61%
dsgdb9nsd_126532,18,18,12,18,7,5,11,100%,39%
dsgdb9nsd_106393,20,22,15,22,7,8,15,100%,32%
dsgdb9nsd_054091,15,14,14,14,9,5,5,100%,64%
dsgdb9nsd_010716,16,16,11,16,6,5,10,100%,38%
dsgdb9nsd_049744,15,17,12,17,6,6,11,100%,35%
dsgdb9nsd_041998,19,20,13,20,8,5,12,100%,40%
dsgdb9nsd_050161,17,18,12,18,5,7,13,100%,28%
dsgdb9nsd_056660,18,18,11,18,6,5,12,100%,33%
dsgdb9nsd_002262,16,17,10,17,6,4,11,100%,35%
dsgdb9nsd_062282,17,19,12,19,5,7,14,100%,26%
dsgdb9nsd_018430,12,13,10,13,4,6,9,100%,31%
dsgdb9nsd_084498,20,21,15,21,8,7,13,100%,38%
dsgdb9nsd_050824,17,17,14,17,8,6,9,100%,47%
dsgdb9nsd_084638,17,18,14,18,5,9,13,100%,28%
dsgdb9nsd_018766,16,18,13,18,7,6,11,100%,39%
dsgdb9nsd_131554,14,15,12,15,8,4,7,100%,53%
dsgdb9nsd_041461,19,21,14,21,7,7,14,100%,33%
dsgdb9nsd_026487,17,18,13,18,8,5,10,100%,44%
dsgdb9nsd_083429,21,23,14,23,8,6,15,100%,35%
dsgdb9nsd_025279,13,14,12,13,9,3,5,93%,64%
dsgdb9nsd_056451,15,15,13,14,7,6,8,93%,47%
dsgdb9nsd_024522,12,13,12,13,9,3,4,100%,69%
dsgdb9nsd_022563,22,22,13,22,6,7,16,100%,27%
dsgdb9nsd_020875,17,17,11,17,7,4,10,100%,41%
